sample_id,theta_ej_0,mu_beta
0,3.159962557081508,1.4264564224373357
1,4.385959457994913,0.0649566652988716
2,4.943418970300013,0.877396366848126
3,3.7351740247465868,1.3205027043438413
4,5.498096289126739,0.8025288932310072
5,1.9289549538911368,0.34053627815436144
6,4.717598925382049,0.3721440145587694
7,5.743240035345854,1.0242222351829062
8,5.29701010164866,0.1267450352159865
9,3.8447367587701144,0.02903819257667075
10,2.079365002433775,0.2545760654313252
11,2.414757699614344,1.2813159714228761
12,2.2495964606142067,0.9154835650122138
13,4.187012899111564,0.5955717633642706
14,3.4447621340373566,1.2408676171457649
15,4.567500613790701,0.9593077006925631
16,1.3632290876355757,1.1631314473181587
17,1.2755905223456196,1.1503051198267351
18,2.8738161468260723,0.6833963965371073
19,1.7427610067900812,0.7354265448154643
20,5.881605262849284,0.5212179881608417
21,1.5185544698234792,1.0544676700634297
22,5.502220768332959,0.8386078544014429
23,1.063305069353494,0.20347486529392628
24,5.005219888628492,0.47931539251277816
25,2.5398447464039062,1.354718544364359
26,3.6417043016785,0.43558683027785433
27,4.023455989319558,0.63288735536698
28,2.7614602596273654,0.2610537189635447
29,3.234947990937826,1.4835760505584186
