sample_id,theta_ej_0,mu_beta
0,1.6787972382563139,1.3435149375423445
1,4.64092065318348,0.8352516723908122
2,2.704048166054105,0.7644674027443312
3,1.059932495819465,0.4669701149100341
4,5.970854799881134,0.9363211029146332
5,5.626603135228728,0.7408345622711344
6,1.8572597477174129,0.1310917288447819
7,4.947910118542223,0.9638293767789453
8,3.80486327837336,1.2667956783227667
9,4.751646474314391,1.4053270225709782
10,2.182758131206302,1.1185276500185954
11,3.6522471483080814,0.5396863519019911
12,1.2673400554486227,0.8666248978440919
13,5.482620117669288,1.1866967754194864
14,1.3387656810325985,0.5982698776227886
15,2.470103943042547,1.3548850920594637
16,2.970947030467836,0.1868267552269056
17,5.059101103277824,0.3103865067795012
18,1.5799420699917706,0.3831188327113228
19,3.201935683005023,0.05495448017803053
20,2.5724529288963085,1.0528255903205554
21,2.044536632487098,0.2507191356670464
22,4.2123096926449435,0.695827233306213
23,3.024559125936563,0.4178542056922358
24,5.22876415044126,0.6486176967789679
25,3.838487571041582,1.2205514710637861
26,4.406349697277096,0.08236118178789334
27,5.700199976221548,0.3056842437245636
28,4.052036741627379,1.0838099933881584
29,3.499882164394544,1.4710871945976305
