sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
0,4.920891544273889,-0.026699880989366653,-2.920549087000978,1.4802068818382872
1,1.4020508953211217,-0.2762249984321676,0.7825471695218549,0.7036553668579681
2,1.7052166325697589,-0.16261619690128343,-2.393297502347378,1.0196982050075982
3,3.051221254038494,-0.15796596102850843,2.8232758332702677,0.28499258369669384
4,2.605099079918344,-0.2949833175311169,1.8018118775374914,1.259413314703327
5,2.8634036696494265,-0.03716002886812275,1.4138663329032424,0.19099019830734631
6,5.3730896642444685,-0.12611845540049493,-1.896451547387835,0.39666904493726096
7,4.725070336691992,-0.08029570623570426,-0.019563484524958596,1.1444440397739897
8,5.653855188139845,-0.17888482588087729,0.32995231629435917,0.3098543466343249
9,4.506234301183884,-0.004269931737369892,-1.1473991670922437,0.05096405855171903
10,3.664567820012318,-0.06493288906512387,1.6417756122554854,0.4917318460155172
11,4.495619068727102,-0.042069033603826966,-0.561859615139821,1.3261136662423259
12,4.333330960833961,-0.011101787278450903,-2.01035320674806,0.0812883566303587
13,3.304610085581675,-0.22394860844615633,-0.9681640920059884,1.2244409182982843
14,5.9786384920370725,-0.24380656337370848,2.1031669029250697,0.5388260526029885
15,2.2135790818874224,-0.10805669281722283,0.591007042833982,0.24277114886469914
16,2.759167671447803,-0.28439338417487003,-2.7919312787205293,1.1636754572478538
17,1.930127285628625,-0.1881726801930746,2.3214868590769298,0.7777934727793255
18,5.079749035914116,-0.21216983906160286,-2.5063273548089877,1.3823001153278787
19,5.326767109564417,-0.20965398110506678,-0.2849541266149753,1.0871891478677924
20,3.9861172924431214,-0.14732798831481012,-0.6331947712756545,1.4050775068290426
21,1.3280312718894922,-0.23942902419030843,0.19850856545615425,0.7322455245289196
22,3.336980379782438,-0.13175460793001378,1.3179377095452596,0.850928575003722
23,2.4423818773027186,-0.26534770992162005,0.9688671859710505,0.9128519776790612
24,5.77150273896326,-0.0789419912640966,1.0078962400924638,0.989984058691443
25,4.029646123438781,-0.09453167098666299,-1.6546695115533225,0.8593656109208806
26,3.744226950069994,-0.25605238531627844,2.5455769447380243,0.14109631021398952
27,2.009261260088131,-0.11811046203601869,-1.5507249033957666,0.4079989747704199
28,1.0024149831441524,-0.1922344191093484,2.6773323375272717,0.6175026850780396
29,1.6128244209046343,-0.05031579160179753,-1.3590718865016447,0.5822088182032733
