sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
0,3.4446213,-0.1899164,-2.4005032,0.36360732
1,4.4444294,-0.120528534,-0.30788428,0.4198648
2,5.0079517,-0.06714273,0.5775967,0.57855743
3,4.055099,-0.15867843,-0.6651526,1.112064
4,2.6522353,-0.22053976,0.27046767,1.2229869
5,1.2560282,-0.06851084,1.2360622,0.8544892
6,3.6833236,-0.21806523,-2.2485423,0.8846497
7,2.90286,-0.1334158,-1.7364855,1.1055522
8,3.329289,-0.16456842,-1.2989336,0.77234435
9,2.8952684,-0.23132804,2.312776,0.65628
10,4.9751205,-0.16211738,-1.283141,0.63683397
11,2.5349758,-0.16404404,-0.36444375,0.8307873
12,4.5786476,-0.15236783,-2.310984,0.5112758
13,3.7698708,-0.08339357,1.3475646,1.4054066
14,5.4164815,-0.059870835,-1.9431173,1.1012281
15,3.1472688,-0.2474446,-2.3341656,0.78274125
16,3.8172448,-0.0061611105,0.55115926,0.33602443
17,4.565565,-0.0573881,-2.3398435,0.6018661
18,4.6601696,-0.24743332,-2.0752563,0.40918058
19,4.5142345,-0.20794903,0.555686,0.07433299
20,1.5310221,-0.14112201,0.30424237,1.4212502
21,3.671583,-0.04638575,0.26593477,0.88262343
22,2.025544,-0.056619227,-0.49223834,0.7247166
23,4.7906547,-0.18331148,-1.0903168,1.0253663
24,1.122003,-0.27057093,1.5234256,0.39386424
25,1.1569921,-0.09091202,-1.5744181,0.7410679
26,1.7635925,-0.10736051,2.125606,0.6287716
27,3.7357726,-0.068374515,-1.3733257,1.3057235
28,5.730485,-0.16661137,-1.0199109,0.68551964
29,1.8586273,-0.18268691,-0.83541036,0.19857927
