sample_id,theta_ej_0,nu_theta_ej_M
0,2.7264645099639893,-0.013886515982449055
1,2.3569507598876953,-0.05416897311806679
2,2.0327155590057373,-0.09591053426265717
3,2.4123895168304443,-0.04701608046889305
4,1.201615571975708,-0.24033747613430023
5,1.250686526298523,-0.23049511015415192
6,1.2474724054336548,-0.22917862236499786
7,1.6235028505325317,-0.1576266586780548
8,2.6132681369781494,-0.026407063007354736
9,2.337031602859497,-0.05720067396759987
10,1.8148401975631714,-0.1275017410516739
11,2.4932191371917725,-0.038752052932977676
12,1.1897525787353516,-0.243223175406456
13,1.671592354774475,-0.15023468434810638
14,2.417189121246338,-0.04711831733584404
15,1.6235028505325317,-0.1576266586780548
16,1.7118017673492432,-0.14317341148853302
17,1.671592354774475,-0.15023468434810638
18,2.1772725582122803,-0.07648957520723343
19,2.8200290203094482,-0.00648245494812727
20,1.2990683317184448,-0.21831367909908295
21,2.337031602859497,-0.05720067396759987
22,1.5771019458770752,-0.1664116382598877
23,2.6776208877563477,-0.0198176559060812
24,1.4858118295669556,-0.18259069323539734
25,1.7460252046585083,-0.1393922120332718
26,1.2160311937332153,-0.2387068271636963
27,2.213012933731079,-0.06942027062177658
28,1.0984399318695068,-0.26490557193756104
29,2.0545077323913574,-0.09239064157009125
30,2.337031602859497,-0.05720067396759987
31,2.0545077323913574,-0.09239064157009125
32,2.4412081241607666,-0.0446380153298378
33,2.761859655380249,-0.011758561246097088
34,2.255110263824463,-0.06743766367435455
35,2.582188367843628,-0.02891567535698414
36,1.5910756587982178,-0.16217876970767975
37,1.2441439628601074,-0.23176951706409454
38,2.255110263824463,-0.06743766367435455
39,1.632519245147705,-0.15792033076286316
40,1.3992630243301392,-0.1994239240884781
41,2.4553678035736084,-0.044899340718984604
42,2.5488877296447754,-0.03191348537802696
43,1.0630053281784058,-0.273388147354126
44,2.3576719760894775,-0.054578591138124466
45,1.9232460260391235,-0.11302807927131653
46,1.5384244918823242,-0.1734645962715149
47,2.6776208877563477,-0.0198176559060812
48,2.0080673694610596,-0.0989808514714241
49,1.724988579750061,-0.14179885387420654
50,1.859925627708435,-0.11974284052848816
51,2.0058271884918213,-0.09882728010416031
52,1.0722745656967163,-0.2728223204612732
53,1.7931439876556396,-0.13038164377212524
54,1.201615571975708,-0.24033747613430023
55,1.404053807258606,-0.19795139133930206
56,1.4409490823745728,-0.19145996868610382
57,2.794548273086548,-0.012203944846987724
58,2.0327155590057373,-0.09591053426265717
59,2.246765375137329,-0.06707382947206497
60,1.9280132055282593,-0.11195981502532959
61,2.377628803253174,-0.05307101458311081
62,1.8148401975631714,-0.1275017410516739
63,2.432234525680542,-0.045637864619493484
64,2.633742570877075,-0.023617304861545563
65,2.7016899585723877,-0.01644876040518284
66,2.7532033920288086,-0.010241439566016197
67,2.775426149368286,-0.00995362363755703
68,1.1104373931884766,-0.26226842403411865
69,1.582297444343567,-0.1653263121843338
70,1.2464487552642822,-0.23200547695159912
71,1.5771019458770752,-0.1664116382598877
72,2.633742570877075,-0.023617304861545563
73,1.7831124067306519,-0.13165885210037231
74,2.4484856128692627,-0.04426608607172966
75,1.2606878280639648,-0.2278633862733841
76,1.9461473226547241,-0.10780693590641022
77,2.239882469177246,-0.06987503916025162
78,2.794548273086548,-0.012203944846987724
79,1.1683341264724731,-0.24827973544597626
80,2.3569507598876953,-0.05416897311806679
81,1.2212947607040405,-0.2352883219718933
82,1.7012690305709839,-0.14592795073986053
83,1.6089470386505127,-0.16099876165390015
84,1.7962260246276855,-0.12932255864143372
85,1.1897525787353516,-0.243223175406456
86,1.5276873111724854,-0.17381536960601807
87,2.632006883621216,-0.024114036932587624
88,1.8148401975631714,-0.1275017410516739
89,1.7486737966537476,-0.13680383563041687
90,2.7750542163848877,-0.010332834906876087
91,1.2752078771591187,-0.22446416318416595
92,2.7028791904449463,-0.01620854251086712
93,2.7750542163848877,-0.010332834906876087
94,1.172071933746338,-0.24646198749542236
95,1.1417512893676758,-0.254258930683136
96,2.0982203483581543,-0.08710215985774994
97,2.1277263164520264,-0.08267384767532349
98,2.264983892440796,-0.06637982279062271
99,1.4090577363967896,-0.19628217816352844
100,1.366499900817871,-0.20625735819339752
101,1.7068264484405518,-0.14396290481090546
102,2.3294098377227783,-0.05800272896885872
103,1.398281455039978,-0.1988118588924408
104,1.3264068365097046,-0.21444225311279297
105,2.7750542163848877,-0.010332834906876087
106,2.280360698699951,-0.06408209353685379
107,1.128684163093567,-0.2591370642185211
108,2.4412081241607666,-0.0446380153298378
109,1.0605714321136475,-0.2734421491622925
110,1.2963292598724365,-0.22065897285938263
111,2.7353575229644775,-0.014041153714060783
112,1.7962260246276855,-0.12932255864143372
113,1.1417512893676758,-0.254258930683136
114,1.04860258102417,-0.2784038782119751
115,1.398281455039978,-0.1988118588924408
116,1.5771019458770752,-0.1664116382598877
117,1.7962260246276855,-0.12932255864143372
118,1.234058141708374,-0.23432162404060364
119,2.183194398880005,-0.075284443795681
120,2.189943313598633,-0.07537364959716797
121,2.7028791904449463,-0.01620854251086712
122,2.7259151935577393,-0.01391996443271637
123,1.3544131517410278,-0.20845742523670197
124,2.6132681369781494,-0.026407063007354736
125,1.491003155708313,-0.18069937825202942
126,2.633742570877075,-0.023617304861545563
127,2.3917136192321777,-0.04881303384900093
128,1.0585495233535767,-0.27630338072776794
129,1.954420804977417,-0.10732532292604446
130,1.494566559791565,-0.1804736852645874
131,2.7264645099639893,-0.013886515982449055
132,1.366499900817871,-0.20625735819339752
133,2.775426149368286,-0.00995362363755703
134,1.4593505859375,-0.18658068776130676
135,1.7486737966537476,-0.13680383563041687
136,1.724988579750061,-0.14179885387420654
137,2.255110263824463,-0.06743766367435455
138,1.5384244918823242,-0.1734645962715149
139,2.247821569442749,-0.06860358268022537
140,2.6776208877563477,-0.0198176559060812
141,1.9076049327850342,-0.11434269696474075
142,1.2369850873947144,-0.2328641712665558
143,1.3845765590667725,-0.2019771933555603
144,1.5771938562393188,-0.1655680388212204
145,2.412449359893799,-0.049333274364471436
146,1.0722745656967163,-0.2728223204612732
147,2.8200290203094482,-0.00648245494812727
148,2.412449359893799,-0.049333274364471436
149,2.3901119232177734,-0.05153897777199745
150,2.183194398880005,-0.075284443795681
151,1.2990683317184448,-0.21831367909908295
152,1.2963292598724365,-0.22065897285938263
153,1.3845765590667725,-0.2019771933555603
154,2.632006883621216,-0.024114036932587624
155,1.9359997510910034,-0.10945102572441101
156,1.7831124067306519,-0.13165885210037231
157,2.3339054584503174,-0.058767806738615036
158,1.598757028579712,-0.1626647263765335
159,1.4858118295669556,-0.18259069323539734
160,2.6534950733184814,-0.02137681283056736
161,2.239882469177246,-0.06987503916025162
162,1.9926807880401611,-0.10174959897994995
163,1.7931439876556396,-0.13038164377212524
164,1.4409490823745728,-0.19145996868610382
165,2.1740925312042236,-0.07604921609163284
166,1.250686526298523,-0.23049511015415192
167,2.1740925312042236,-0.07604921609163284
168,2.3249778747558594,-0.05742674320936203
169,2.255110263824463,-0.06743766367435455
170,1.2990683317184448,-0.21831367909908295
171,1.6857436895370483,-0.14738672971725464
172,1.878409504890442,-0.11723226308822632
173,1.9280132055282593,-0.11195981502532959
174,1.0605714321136475,-0.2734421491622925
175,1.3264068365097046,-0.21444225311279297
176,2.31210994720459,-0.06109936162829399
177,2.582188367843628,-0.02891567535698414
178,1.7792779207229614,-0.13267941772937775
179,1.3992630243301392,-0.1994239240884781
180,1.453938603401184,-0.1884603053331375
181,2.461643695831299,-0.04248770326375961
182,2.3249778747558594,-0.05742674320936203
183,1.04860258102417,-0.2784038782119751
184,2.0080673694610596,-0.0989808514714241
185,2.0545077323913574,-0.09239064157009125
186,2.4412081241607666,-0.0446380153298378
187,1.491003155708313,-0.18069937825202942
188,1.6235028505325317,-0.1576266586780548
189,2.189943313598633,-0.07537364959716797
190,1.6089470386505127,-0.16099876165390015
191,1.6857436895370483,-0.14738672971725464
192,1.9926807880401611,-0.10174959897994995
193,1.0605714321136475,-0.2734421491622925
194,1.312261700630188,-0.21614891290664673
195,2.4372661113739014,-0.04481000825762749
196,2.7532033920288086,-0.010241439566016197
197,1.582297444343567,-0.1653263121843338
198,2.13488507270813,-0.08230157941579819
199,1.201615571975708,-0.24033747613430023
