sample_id,theta_ej_0,mu_beta
0,1.9253668785095215,0.7686014771461487
1,2.160057544708252,0.3785674273967743
2,1.9224226474761963,0.7243219017982483
3,2.4395651817321777,0.17227067053318024
4,2.4395651817321777,0.17227067053318024
5,2.27642560005188,0.2701970934867859
6,2.2398242950439453,0.26938721537590027
7,1.9764504432678223,0.6727840304374695
8,1.95294189453125,0.7107300162315369
9,1.9224226474761963,0.7243219017982483
10,1.8997867107391357,0.8898525834083557
11,1.895909070968628,0.8024296164512634
12,1.9764504432678223,0.6727840304374695
13,1.986138105392456,0.6033509373664856
14,2.4395651817321777,0.17227067053318024
15,1.8983533382415771,0.8631279468536377
16,1.953234314918518,0.6766622066497803
17,2.817030668258667,0.06593561172485352
18,2.356433629989624,0.20524562895298004
19,2.1978890895843506,0.33358561992645264
20,1.9579013586044312,0.6666504740715027
21,2.356433629989624,0.20524562895298004
22,1.9764504432678223,0.6727840304374695
23,2.27642560005188,0.2701970934867859
24,2.0169026851654053,0.5177842378616333
25,2.0169026851654053,0.5177842378616333
26,2.27642560005188,0.2701970934867859
27,2.817030668258667,0.06593561172485352
28,1.9224226474761963,0.7243219017982483
29,2.072779655456543,0.5050266981124878
