sample_id,theta_ej_0,mu_beta
0,2.0217392444610596,0.5354589223861694
1,1.8325968980789185,1.2982616424560547
2,1.9841852188110352,0.6354318261146545
3,2.176682472229004,0.2835032045841217
4,1.8524508476257324,1.1320706605911255
5,1.867642879486084,1.285415768623352
6,1.9629583358764648,0.766727864742279
7,1.8746076822280884,1.0901176929473877
8,1.9391469955444336,0.7935438752174377
9,1.9361026287078857,0.7690784931182861
10,1.8336758613586426,1.2820371389389038
11,2.1061527729034424,0.40626949071884155
12,1.8377057313919067,1.2552868127822876
13,1.939508080482483,0.8798280954360962
14,1.9461684226989746,0.9905028939247131
15,2.1585798263549805,0.3105278015136719
16,1.9461454153060913,0.9292874932289124
17,1.8632646799087524,1.011833667755127
18,2.287869453430176,0.23836196959018707
19,1.79603111743927,1.4673683643341064
20,2.2745609283447266,0.2271156758069992
21,1.8857381343841553,0.9930753111839294
22,1.968479037284851,0.6706265807151794
23,1.882150650024414,1.1205039024353027
24,1.9692710638046265,0.6465678215026855
25,1.9929558038711548,0.6287944316864014
26,2.0812864303588867,0.45241156220436096
27,1.9083245992660522,0.893569827079773
28,2.5823559761047363,0.15016400814056396
29,1.9877692461013794,0.5787596702575684
