sample_id,theta_ej_0,mu_beta
0,2.354530096054077,0.3118184208869934
1,1.9085434675216675,0.794058084487915
2,2.3922765254974365,0.17177358269691467
3,1.744702935218811,1.0674618482589722
4,1.9288392066955566,0.8967359066009521
5,2.2572765350341797,0.2764984667301178
6,2.191877841949463,0.2693021893501282
7,2.0507960319519043,0.09561916440725327
8,1.6508532762527466,1.044997215270996
9,2.0748162269592285,0.6653611660003662
10,1.713104009628296,1.1747651100158691
11,1.7846428155899048,1.0026013851165771
12,2.396820068359375,0.3134458661079407
13,1.7786563634872437,0.5810539126396179
14,2.0355160236358643,0.5460634827613831
15,1.9072458744049072,0.8445591330528259
16,1.7789478302001953,1.247408390045166
17,1.9046634435653687,0.8626695871353149
18,1.9933416843414307,0.5160565376281738
19,2.074784278869629,0.5251495838165283
20,2.244595766067505,0.27617672085762024
21,2.267077684402466,0.2431817650794983
22,2.7028353214263916,0.09149224311113358
23,2.158137083053589,0.38425859808921814
24,2.3416049480438232,0.3091756999492645
25,2.058006525039673,0.5079292058944702
26,1.7838094234466553,1.3299403190612793
27,1.9464643001556396,1.221366286277771
28,1.664508581161499,1.2316930294036865
29,1.468092441558838,1.3162351846694946
