sample_id,theta_ej_0,mu_beta
0,1.893283486366272,0.947867214679718
1,2.5149929523468018,0.14134612679481506
2,2.85658860206604,0.015779556706547737
3,1.8269468545913696,1.4502252340316772
4,1.836693525314331,0.9240928888320923
5,1.893283486366272,0.947867214679718
6,1.813521385192871,1.0392528772354126
7,2.0129566192626953,0.6266957521438599
8,1.8269468545913696,1.4502252340316772
9,1.945228099822998,0.7734040021896362
10,2.691498279571533,0.10039147734642029
11,2.08321475982666,0.5734564065933228
12,1.8436429500579834,1.189819097518921
13,2.3265726566314697,0.24713276326656342
14,2.2778072357177734,0.21283385157585144
15,1.9680471420288086,0.6282548904418945
16,1.893283486366272,0.947867214679718
17,2.5149929523468018,0.14134612679481506
18,2.0129566192626953,0.6266957521438599
19,2.0005569458007812,0.5659950375556946
20,1.813521385192871,1.0392528772354126
21,2.303448438644409,0.33248695731163025
22,2.5630462169647217,0.1290837973356247
23,2.08321475982666,0.5734564065933228
24,1.893283486366272,0.947867214679718
25,1.87095046043396,0.7837393283843994
26,2.691498279571533,0.10039147734642029
27,2.0005569458007812,0.5659950375556946
28,2.5149929523468018,0.14134612679481506
29,2.08321475982666,0.5734564065933228
